陕西电信-组播1,#genre#
好享购,http://ipip/udp/239.110.205.33:9786
每日购物,http://ipip/udp/239.110.205.41:9870
优购物,http://ipip/udp/239.109.205.43:8272
东方购物,http://ipip/udp/239.109.205.72:8504
快乐购,http://ipip/udp/239.109.205.125:8940
家家购物,http://ipip/udp/239.109.205.157:9108
金鹰卡通,http://ipip/udp/239.109.205.164:9004
卡酷少儿,http://ipip/udp/239.109.205.174:9600
北京纪实,http://ipip/udp/239.109.205.128:8968
全纪实,http://ipip/udp/239.109.205.85:8620
法治天地,http://ipip/udp/239.109.205.76:8544
动漫秀场,http://ipip/udp/239.109.205.84:8616
财富天下,http://ipip/udp/239.109.205.77:8552
证券服务,http://ipip/udp/239.110.205.17:9814
围棋频道,http://ipip/udp/239.110.205.87:7576
茶频道,http://ipip/udp/239.110.205.25:9846
家庭理财,http://ipip/udp/239.110.205.45:9902
摄影频道,http://ipip/udp/239.110.205.78:7560
CETV1-教育综合,http://ipip/udp/239.109.205.79:8592
CETV2-教学频道,http://ipip/udp/239.110.205.9:9782
CETV4-空中课堂,http://ipip/udp/239.110.205.88:7572
中国气象频道,http://ipip/udp/239.110.205.79:7564
环球奇观,http://ipip/udp/239.110.205.82:7544
车迷频道,http://ipip/udp/239.110.205.94:7752 
百姓健康,http://ipip/udp/239.110.205.91:7720
家庭健康,http://ipip/udp/239.110.205.92:7728
宠物秀场,http://ipip/udp/239.110.205.93:7736
电子体育,http://ipip/udp/239.110.205.96:7760
陕西电信-组播3,#genre#
CCTV1-综合,http://ipip/udp/239.112.205.59:5140
CCTV1-综合,http://124.114.101.45:6789/rtp/239.112.205.59:5140
CCTV2-财经,http://ipip/udp/239.112.205.78:5140
CCTV2-财经,http://124.114.101.45:6789/rtp/239.112.205.78:5140
CCTV3-综艺,http://ipip/udp/239.112.205.221:5140
CCTV3-综艺,http://124.114.101.45:6789/rtp/239.112.205.221:5140
CCTV4-中文国际,http://ipip/udp/239.112.205.202:5140
CCTV4-中文国际,http://124.114.101.45:6789/rtp/239.112.205.202:5140
CCTV4-中文国际欧洲,http://ipip/udp/239.110.205.121:7792
CCTV4-中文国际美洲,http://ipip/udp/239.110.205.120:7796
CCTV5-体育,http://ipip/udp/239.112.205.222:5140
CCTV5-体育,http://124.114.101.45:6789/rtp/239.112.205.222:5140
CCTV5+-体育赛事,http://ipip/udp/239.111.205.13:5140
CCTV5+-体育赛事,http://124.114.101.45:6789/rtp/239.111.205.13:5140
CCTV6-电影,http://ipip/udp/239.112.205.223:5140
CCTV6-电影,http://124.114.101.45:6789/rtp/239.112.205.223:5140
CCTV7-国防军事,http://ipip/udp/239.112.205.83:5140
CCTV7-国防军事,http://124.114.101.45:6789/rtp/239.112.205.83:5140
CCTV8-电视剧,http://ipip/udp/239.112.205.224:5140
CCTV8-电视剧,http://124.114.101.45:6789/rtp/239.112.205.224:5140
CCTV9-纪录,http://ipip/udp/239.112.205.85:5140
CCTV9-纪录,http://124.114.101.45:6789/rtp/239.112.205.85:5140
CCTV10-科教,http://ipip/udp/239.112.205.86:5140
CCTV10-科教,http://124.114.101.45:6789/rtp/239.112.205.86:5140
CCTV11-戏曲,http://ipip/udp/239.112.205.213:5140
CCTV11-戏曲,http://124.114.101.45:6789/rtp/239.112.205.213:5140
CCTV12-社会与法,http://ipip/udp/239.112.205.88:5140
CCTV12-社会与法,http://124.114.101.45:6789/rtp/239.112.205.88:5140
CCTV13-新闻,http://ipip/udp/239.111.205.53:5140
CCTV14-少儿,http://ipip/udp/239.112.205.91:5140
CCTV14-少儿,http://124.114.101.45:6789/rtp/239.112.205.91:5140
CCTV15-音乐,http://ipip/udp/239.112.205.214:5140
CCTV15-音乐,http://124.114.101.45:6789/rtp/239.112.205.214:5140
CCTV16-奥林匹克,http://ipip/udp/239.111.205.134:5140
CCTV16-奥林匹克,http://124.114.101.45:6789/rtp/239.111.205.134:5140
CCTV17-农村农业,http://ipip/udp/239.112.205.211:5140
CCTV17-农村农业,http://124.114.101.45:6789/rtp/239.112.205.211:5140
CCTV4K-超高清,http://ipip/udp/239.109.205.192:9608
CGTN,http://ipip/udp/239.111.205.32:5140
CGTN,http://124.114.101.45:6789/rtp/239.111.205.32:5140
CGTN西班牙语,http://ipip/udp/239.111.205.33:5140
CGTN西班牙语,http://124.114.101.45:6789/rtp/239.111.205.33:5140
CGTN法语,http://ipip/udp/239.111.205.34:5140
CGTN法语,http://124.114.101.45:6789/rtp/239.111.205.34:5140
CGTN俄语,http://ipip/udp/239.110.205.117:7808
CGTN阿拉伯语,http://ipip/udp/239.110.205.118:7804
CGTN英语纪录,http://ipip/udp/239.110.205.119:7800
湖南卫视,http://ipip/udp/239.109.205.163:9002
湖南卫视,http://124.114.101.45:6789/rtp/239.112.205.62:5140
浙江卫视,http://ipip/udp/239.109.205.120:8896
浙江卫视,http://124.114.101.45:6789/rtp/239.112.205.64:5140
江苏卫视,http://ipip/udp/239.109.205.119:8368
江苏卫视,http://124.114.101.45:6789/rtp/239.112.205.63:5140
北京卫视,http://ipip/udp/239.109.205.162:8898
北京卫视,http://124.114.101.45:6789/rtp/239.112.205.65:5140
东方卫视,http://ipip/udp/239.109.205.121:8904
东方卫视,http://124.114.101.45:6789/rtp/239.112.205.61:5140
安徽卫视,http://ipip/udp/239.110.205.11:9790
安徽卫视,http://124.114.101.45:6789/rtp/239.112.205.72:5140
广东卫视,http://ipip/udp/239.109.205.188:9610
广东卫视,http://124.114.101.45:6789/rtp/239.112.205.66:5140
深圳卫视,http://ipip/udp/239.109.205.189:9602
深圳卫视,http://124.114.101.45:6789/rtp/239.112.205.67:5140
辽宁卫视,http://ipip/udp/239.110.205.12:9794
辽宁卫视,http://124.114.101.45:6789/rtp/239.112.205.73:5140
海南卫视-标清,http://ipip/udp/239.109.205.41:8256
海南卫视-标清,http://124.114.101.45:6789/rtp/239.112.205.50:5140
山东卫视,http://ipip/udp/239.109.205.191:9606
山东卫视,http://124.114.101.45:6789/rtp/239.112.205.70:5140
天津卫视,http://ipip/udp/239.110.205.23:9838
天津卫视,http://124.114.101.45:6789/rtp/239.112.205.74:5140
重庆卫视,http://ipip/udp/239.109.205.70:8496
重庆卫视,http://124.114.101.45:6789/rtp/239.112.205.179:5140
东南卫视,http://ipip/udp/239.109.205.177:9626
东南卫视,http://124.114.101.45:6789/rtp/239.112.205.182:5140
甘肃卫视,http://ipip/udp/239.110.205.122:7788
甘肃卫视,http://124.114.101.45:6789/rtp/239.112.205.48:5140
广西卫视-标清,http://ipip/udp/239.109.205.39:8240
